'1', '2018-06-08 00:00:00', '04:22:00', '00:45:00', '0'
'2', '2018-06-07 00:00:00', '07:57:00', '00:45:00', '0'
'3', '2018-06-12 00:00:00', '00:00:00', '00:00:00', '2'
'4', '2018-06-11 00:00:00', '07:26:00', '00:45:00', '0'
'5', '2018-08-06 00:00:00', '07:48:00', '00:15:00', '0'
'6', '2018-08-07 00:00:00', '07:51:00', '00:45:00', '0'
'7', '2018-08-08 00:00:00', '07:40:00', '00:45:00', '0'
'8', '2018-08-09 00:00:00', '07:32:00', '00:45:00', '0'
'9', '2018-08-10 00:00:00', '07:28:00', '00:45:00', '0'
'12', '2018-07-16 00:00:00', '00:00:00', '00:00:00', '2'
'13', '2018-07-17 00:00:00', '00:00:00', '00:00:00', '2'
'14', '2018-07-18 00:00:00', '00:00:00', '00:00:00', '2'
'16', '2018-07-19 00:00:00', '00:00:00', '00:00:00', '2'
'17', '2018-07-20 00:00:00', '00:00:00', '00:00:00', '2'
'18', '2018-07-23 00:00:00', '00:00:00', '00:00:00', '2'
'20', '2018-07-24 00:00:00', '00:00:00', '00:00:00', '2'
'21', '2018-07-25 00:00:00', '00:00:00', '00:00:00', '2'
'22', '2018-07-26 00:00:00', '00:00:00', '00:00:00', '2'
'23', '2018-07-27 00:00:00', '00:00:00', '00:00:00', '2'
'24', '2018-07-30 00:00:00', '00:00:00', '00:00:00', '2'
'25', '2018-07-31 00:00:00', '00:00:00', '00:00:00', '2'
'26', '2018-07-02 00:00:00', '07:48:00', '00:45:00', '0'
'27', '2018-07-03 00:00:00', '07:03:00', '00:45:00', '0'
'28', '2018-07-04 00:00:00', '07:31:00', '00:45:00', '0'
'29', '2018-07-05 00:00:00', '09:10:00', '00:45:00', '0'
'30', '2018-07-06 00:00:00', '05:07:00', '00:45:00', '0'
'31', '2018-07-09 00:00:00', '08:13:00', '00:45:00', '0'
'32', '2018-07-10 00:00:00', '07:34:00', '00:15:00', '0'
'33', '2018-07-11 00:00:00', '07:41:00', '00:45:00', '0'
'34', '2018-07-12 00:00:00', '08:38:00', '00:45:00', '0'
'35', '2018-07-13 00:00:00', '03:59:00', '00:15:00', '0'
'36', '2018-08-13 00:00:00', '07:50:00', '00:45:00', '0'
'37', '2018-08-01 00:00:00', '00:00:00', '00:00:00', '2'
'38', '2018-08-02 00:00:00', '00:00:00', '00:00:00', '2'
'39', '2018-08-03 00:00:00', '00:00:00', '00:00:00', '2'
'40', '2018-08-15 00:00:00', '00:00:00', '00:00:00', '2'
'41', '2018-08-14 00:00:00', '07:11:00', '00:45:00', '0'
'42', '2018-08-16 00:00:00', '07:45:00', '00:45:00', '0'
'43', '2018-08-17 00:00:00', '05:34:00', '00:45:00', '0'
'44', '2018-08-20 00:00:00', '07:22:00', '00:45:00', '0'
'45', '2018-08-21 00:00:00', '07:10:00', '00:45:00', '0'
'46', '2018-08-22 00:00:00', '07:08:00', '00:45:00', '0'
'47', '2018-08-23 00:00:00', '07:06:00', '00:45:00', '0'
'48', '2018-08-24 00:00:00', '06:24:00', '00:45:00', '0'
'49', '2018-08-27 00:00:00', '07:10:00', '00:45:00', '0'
'50', '2018-08-28 00:00:00', '06:48:00', '00:45:00', '0'
'51', '2018-08-29 00:00:00', '07:50:00', '00:45:00', '0'
'52', '2018-08-30 00:00:00', '07:24:00', '00:45:00', '0'
'53', '2018-08-31 00:00:00', '05:48:00', '00:45:00', '0'
'54', '2018-09-03 00:00:00', '07:40:00', '00:45:00', '0'
'55', '2018-09-04 00:00:00', '07:37:00', '00:45:00', '0'
'56', '2018-09-05 00:00:00', '08:04:00', '00:45:00', '0'
'57', '2018-09-06 00:00:00', '07:09:00', '00:45:00', '0'
'58', '2018-09-07 00:00:00', '05:05:00', '00:15:00', '0'
'59', '2018-09-10 00:00:00', '07:17:00', '00:45:00', '0'
'60', '2018-09-11 00:00:00', '07:15:00', '00:45:00', '0'
